time_s,Voltage_5
1.1720000000000002,0.366558
1.173,0.366558
1.1740000000000002,0.336017
1.175,0.305475
1.1760000000000002,0.336017
1.177,0.305475
1.1780000000000002,0.21385
1.179,0.244392
1.1800000000000002,0.183309
1.181,0.183309
1.1820000000000002,0.122226
1.183,0.091684
1.1840000000000002,0.091684
1.185,0.183309
1.1860000000000002,0.21385
1.187,0.21385
1.1880000000000002,0.244392
1.189,0.244392
1.1900000000000002,0.305475
1.191,0.3971
1.1920000000000002,0.366558
1.193,0.3971
1.1940000000000002,0.305475
1.195,0.274934
1.1960000000000002,0.274934
1.197,0.274934
1.1980000000000002,0.244392
1.199,0.21385
1.2000000000000002,0.183309
1.201,0.183309
1.2020000000000002,0.122226
1.203,0.091684
1.2040000000000002,0.122226
1.205,0.152767
1.2060000000000002,0.091684
1.207,0.183309
1.2080000000000002,0.244392
1.209,0.21385
1.2100000000000002,0.336017
1.211,0.366558
1.2120000000000002,0.366558
1.213,0.305475
1.2140000000000002,0.244392
1.215,0.274934
1.2160000000000002,0.3971
1.217,0.274934
1.2180000000000002,0.21385
1.219,0.21385
1.2200000000000002,0.183309
1.221,0.152767
1.2220000000000002,0.122226
1.223,0.091684
1.2240000000000002,0.122226
1.225,0.122226
1.2260000000000002,0.091684
1.227,0.183309
1.2280000000000002,0.274934
1.229,0.21385
1.2300000000000002,0.274934
1.231,0.336017
1.2320000000000002,0.427642
1.233,0.274934
1.2340000000000002,0.336017
1.235,0.336017
1.2360000000000002,0.274934
1.237,0.244392
1.2380000000000002,0.21385
1.239,0.152767
